venue_id,venue_name,latitude,longitude,rating,review_count,address,phone,category
1,7-Eleven,37.63101975,-122.4370076,3.8,13,"2020 Rollingwood San Bruno, CA 94066",16508715191,"coffee, convenience store, snacks, drinks, late night, Food, San Bruno"
2,A One Kitchen & Bar,37.627862,-122.411562,4.4,202,"677 San Mateo Ave San Bruno, CA 94066",16505884040,"bars, food,eventspaces, restaurants, seafood, smoothies, socialclubs, Chinese food, noodle soup, casual dining"
3,A&W Restaurant,37.6058491,-122.3962883,2.3,77,"950 El Camino Real Millbrae, CA 94030",16505899860,"burgers, hotdog"
4,AC Hotel San Francisco Airport/Oyster Point Waterfront,37.664513,-122.395525,3.8,155,"1333 Veterans Blvd South San Francisco, CA 94080",16507429211,venues
5,AC Waterfront Lounge Restaurant,37.664513,-122.395525,4.1,28,"1333 Veterans Blvd South San Francisco, CA 94080",16507429211,"bars, breakfast_brunch, cocktailbars, newamerican"
6,Ai Grill,37.612864,-122.404316,0,0,"1621 El Camino Real Millbrae, CA 94030",16506605606,bbq
7,Aji Ichi Japanese Restaurant,37.628211,-122.411463,3.9,478,"695 San Mateo Ave San Bruno, CA 94066",16509522898," livemusic,party, restaurants, sushi, sashimi, Japanese food, family-friendly, San Bruno"
8,Akagi Restaurant,37.6273469,-122.4163692,3.7,588,"713 Camino Plz San Bruno, CA 94066",16509524141,"japanese food, sushi, Japanese cuisine, ramen, bento, neighborhood spot, San Bruno"
9,Aloft San Francisco Airport,37.6029825,-122.3778467,3.2,491,"401 E Millbrae Ave Millbrae, CA 94030",16504435500,venues
10,Alta Loma Park,37.6615,-122.448023,4.3,20,"450 Camaritas Ave South San Francisco, CA 94080",16192655243,parks
11,Amami San Sushi,37.65552565,-122.4099503,3.8,956,"310 Linden Ave South San Francisco, CA 94080",16508731084,"japanese, sushi"
12,Amami Sushi,37.61486,-122.40642,3.7,1440,"1789 El Camino Real San Bruno, CA 94066",16508722218,"japanese, sushi, sushi bar, Japanese food, nigiri, casual dining, San Bruno"
13,Amami Sushi Bistro,37.62017,-122.41025,4.2,715,"312 El Camino Real San Bruno, CA 94066",16508696088,"restaurants, seafood, sushi, sushi bistro, fresh sashimi, modern Japanese, San Bruno"
14,American Legion Post 409,37.629444,-122.411666,4.3,6,"757 San Mateo Ave San Bruno, CA 94066",16505893102,"venues, veterans club, community events, bar, social gatherings, San Bruno, Events, Nightlife"
15,Amoura Restaurant,37.65955099999861,-122.4089618,4.4,482,"713 Linden Ave South San Francisco, CA 94080",16507546891,"bars, cocktailbars, mediterranean, nightlife"
16,Andiamo In Banca,37.65535196920688,-122.410207,4.2,328,"301 Linden Ave South San Francisco, CA 94080",16507458811,"bars, desserts, italian, nightlife"
17,Angeline's Violin Studio,37.63729,-122.42545,5,9,"San Bruno/Millbrae, CA 94066",16502910077,"arts, theater, violin lessons, music school, private instruction, kids music, San Bruno, Culture, Family Fun"
18,Antigua Coffee Shop,37.65572,-122.41404,4.2,569,"437A Grand Ave South San Francisco, CA 94080",16507416261,"breakfast_brunch, coffee, sandwiches"
19,Antojitos Mexicanos Jovanni,37.607743914799954,-122.3974599,4.6,115,"1100 El Camino Real Millbrae, CA 94030",16508654065,mexican
20,Any Occasion,37.625013,-122.431076,5,80,"San Francisco, CA 94066",14157171199,wedding_planning
21,Aqua Club Dessert & Beverage,37.62256,-122.41094,4.3,1041,"440 San Mateo Ave Ste N1 San Bruno, CA 94066",16503822782,"bubbletea, desserts, juicebars, smoothies, Taiwanese desserts, bubble tea, shaved ice, cozy cafe, San Bruno"
23,Araujo's Restaurant,37.62983,-122.41465,2.9,354,"404 W San Bruno Ave San Bruno, CA 94066",16505884257,"mexican, Mexican food, burritos, family-run restaurant, casual, San Bruno"
24,Art365 Culture Learning Center,37.6018146,-122.391735,5,3,"365 El Camino Real Millbrae, CA 94030",14158029524,artclasses
