venue_id,venue_name,category,latitude,longitude,price,rating,review_count,address,phone
1,Mazra,restaurants,37.62957,-122.41554,,4.7,2300,"504 San Bruno Ave W San Bruno, CA 94066",16502259027
2,Jack's Restaurant & Bar,restaurants,37.63399,-122.420218,,3.9,1721,"1050 Admiral Ct Ste A San Bruno, CA 94066",16505892222
3,Taqueria San Bruno,restaurants,37.63532,-122.41174,,4.5,1893,"1045 San Mateo Ave San Bruno, CA 94066",16508731752
4,Pho de Nguyen,restaurants,37.6262,-122.41102,,4.2,760,"586-A San Mateo Ave San Bruno, CA 94066",16508731388
5,Atlas Pizza Parlor,restaurants,37.62715,-122.41161,,4.3,715,"637 San Mateo Ave San Bruno, CA 94066",16505885888
6,Lotus Falafel and Shawerma-San Bruno,restaurants,37.62698021687039,-122.4114306,,4.6,391,"629 San Mateo Ave San Bruno, CA 94066",16507630763
7,Naan Point,restaurants,37.62575,-122.426,,4.6,337,"851 Cherry Ave Ste 6 San Bruno, CA 94066",16506364447
8,K. Grill & Tofu House,restaurants,37.62681,-122.41148,,4.1,843,"617 San Mateo Ave San Bruno, CA 94066",16508733030
9,JC Bruno Restaurant,restaurants,37.62928,-122.4115769,,4.2,225,"741 San Mateo Ave San Bruno, CA 94066",16502709023
10,Boiling BeiJing,restaurants,37.627416,-122.411551,,4.1,804,"649 San Mateo Ave San Bruno, CA 94066",16509523388
11,Amami Sushi Bistro,restaurants,37.62017,-122.41025,,4.2,715,"312 El Camino Real San Bruno, CA 94066",16508696088
12,Hana Hawaiian Barbeque,restaurants,37.62405577749558,-122.4111082,,4.3,465,"482 San Mateo Ave San Bruno, CA 94066",16506348788
13,Ichika Izakaya,restaurants,37.625698061135004,-122.426595,,4.5,217,"851 Cherry Ave Ste 34 San Bruno , CA 94066",16506364450
14,Hashes & Brews,restaurants,37.62624,-122.42623,,3.8,600,"811 Cherry Ave San Bruno, CA 94066",16509523189
15,West Coast Cafe,restaurants,37.623477,-122.410937,,4.1,436,"466 San Mateo Ave San Bruno, CA 94066",16505881912
16,Dumpling Era,restaurants,37.620472,-122.410489,,4,438,"354 El Camino Real San Bruno, CA 94066",16507379899
17,Hula Hoops,restaurants,37.644909,-122.452615,,4.2,1813,"2278 Westborough Blvd Ste 203 South San Francisco, CA 94080",16509523255
18,Isla Restaurant,restaurants,37.62289,-122.41076,,3.7,1047,"448 San Mateo Ave San Bruno, CA 94066",16508725008
19,Toto's Pizzeria & Restaurant - San Bruno,restaurants,37.61387250765822,-122.4045194,,4.1,1297,"1690 El Camino Real San Bruno, CA 94066",16508738686
20,Noori - San Bruno,restaurants,37.62715,-122.41161,,3.8,672,"637 San Mateo Ave San Bruno, CA 94066",16505894279
21,Aji Ichi Japanese Restaurant,restaurants,37.628211,-122.411463,,3.9,478,"695 San Mateo Ave San Bruno, CA 94066",16509522898
22,New England Lobster Market & Eatery,restaurants,37.602687,-122.374733,,4.3,5844,"824 Cowan Rd Burlingame, CA 94010",16504431559
23,Gintei,restaurants,37.618545,-122.40979,,4.1,544,"235 El Camino Real San Bruno, CA 94066",16506364135
24,The Boys’ Deli,restaurants,37.629745,-122.414746,,4.7,101,"428 San Bruno Ave W San Bruno, CA 94066",16506364213
25,THAI NAKORN,restaurants,37.62342,-122.41094,,3.8,478,"464 San Mateo Ave San Bruno, CA 94066",16505837555
26,Spiral Japanese Restaurant,restaurants,37.6273317,-122.4163594,,3.1,414,"705 Camino Plz San Bruno, CA 94066",16508710177
27,Zorba's Pizza,restaurants,37.61148,-122.40303,,4.3,763,"1567 El Camino Real Millbrae, CA 94030",16508751616
28,Big Mouth Burgers,restaurants,37.62658071,-122.427137,,3.9,767,"851 Cherry Ave Ste 19 San Bruno, CA 94066",16508717636
